id,Lst_1,Z-score,p-value,Lst_1_2,NDVISAMPLE,NDBISAMPLE
89700,60.380554199218750,-0.2845010411,0.7760264363,60.380554199218750,0.215581089258194,0.066001966595650
89703,60.521789550781250,-0.3050552003,0.7603241109,60.521789550781250,0.214251890778542,0.026960406452417
89702,60.353027343750000,-0.3105377635,0.7561520468,60.353027343750000,0.212059527635574,0.106748752295971
89721,60.329162597656250,-0.2245560811,0.8223246344,60.329162597656250,0.219628274440765,0.093470662832260
89720,60.692169189453125,-0.2526270416,0.8005564315,60.692169189453125,0.142564833164215,0.008930122479796
89723,60.983093261718750,-0.0710095637,0.9433901440,60.983093261718750,0.164681330323219,0.066438436508179
89722,60.540100097656250,-0.1811129783,0.8562788979,60.540100097656250,0.219481557607651,0.111874759197235
89725,61.348236083984375,-0.0819318922,0.9347008734,61.348236083984375,0.215964958071709,0.102329760789871
89724,61.315399169921875,0.0434559590,0.9653380709,61.315399169921875,0.180574044585228,-0.004770664963871
89727,58.985382080078125,-0.6517414809,0.5145679582,58.985382080078125,-0.012064343318343,0.038084402680397
89726,60.472259521484375,-0.3956504270,0.6923629309,60.472259521484375,0.246461167931557,0.068132139742374
89713,60.211669921875000,-0.3184664812,0.7501311163,60.211669921875000,0.172080650925636,0.080833673477173
89712,60.073822021484375,-0.3753009383,0.7074366684,60.073822021484375,0.265600562095642,0.088462166488171
89715,60.241027832031250,-0.1914632761,0.8481626497,60.241027832031250,0.230515003204346,0.051506187766790
89714,60.497924804687507,-0.2954083552,0.7676819514,60.497924804687507,0.153989031910896,0.039942178875208
89717,60.769042968750000,-0.2244136720,0.8224354333,60.769042968750000,0.240231215953827,0.089579522609711
89716,60.785552978515625,-0.2355345481,0.8137938675,60.785552978515625,0.253534615039825,0.102811299264431
89719,60.501617431640625,-0.2711781517,0.7862540160,60.501617431640625,0.169902712106705,0.047986760735512
89718,60.073822021484375,-0.2440169041,0.8072177280,60.073822021484375,0.239291965961456,0.087940983474255
89673,60.754425048828125,-0.1142143334,0.9090678898,60.754425048828125,0.158720836043358,0.025288721546531
89672,60.453918457031250,-0.1549448703,0.8768647794,60.453918457031250,0.222100034356117,0.061388485133648
89675,60.633575439453125,-0.1286819127,0.8976093480,60.633575439453125,0.203618392348289,0.086167797446251
